Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
149033,"Exit, Voice, and Loyalty: Responses to Decline in Firms, Organizations, and States",Albert O. Hirschman,"Hirschman, Albert O.",,"=""0674276604""","=""9780674276604""",0,4.13,Harvard University Press,Paperback,176,1970,1970,,2019/10/03,to-read,to-read (#80),to-read,,,,0,0
567610,How to Read a Book: The Classic Guide to Intelligent Reading,Mortimer J. Adler,"Adler, Mortimer J.",Charles van Doren,"=""""","=""""",0,3.98,"Simon & Schuster, Inc",Paperback,426,1972,1940,,2019/08/31,to-read,to-read (#79),to-read,,,,0,0
8171378,The Warmth of Other Suns: The Epic Story of America's Great Migration,Isabel Wilkerson,"Wilkerson, Isabel",,"=""0679444327""","=""9780679444329""",0,4.47,Random House,Hardcover,622,2010,2010,,2019/08/08,,,read,,,,1,0
35696171,"Enlightenment Now: The Case for Reason, Science, Humanism, and Progress",Steven Pinker,"Pinker, Steven",,"=""0525427570""","=""9780525427575""",0,4.20,Viking,Hardcover,576,2018,2018,,2018/02/24,,,read,,,,1,0
48019,The Effective Executive: The Definitive Guide to Getting the Right Things Done (Harperbusiness Essentials),Peter F. Drucker,"Drucker, Peter F.",,"=""0060833459""","=""9780060833459""",0,4.08,Harper Business,Paperback,208,2006,1966,,2019/07/20,to-read,to-read (#78),to-read,,,,0,0
31933250,"Al Franken, Giant of the Senate",Al Franken,"Franken, Al",,"=""1455540439""","=""9781455540433""",4,4.22,Twelve,ebook,304,2017,2017,,2017/07/22,,,read,,,,1,0
38820046,21 Lessons for the 21st Century,Yuval Noah Harari,"Harari, Yuval Noah",,"=""0525512179""","=""9780525512172""",0,4.17,Random House,Hardcover,372,2018,2018,,2019/05/30,to-read,to-read (#77),to-read,,,,0,0
34684622,Leonardo da Vinci,Walter Isaacson,"Isaacson, Walter",,"=""1501139150""","=""9781501139154""",0,4.20,Simon & Schuster,Hardcover,600,2017,2017,,2017/11/27,,,read,,,,1,0
38212158,These Truths: A History of the United States,Jill Lepore,"Lepore, Jill",,"=""0393635244""","=""9780393635249""",0,4.40,W. W. Norton & Company,Hardcover,933,2018,2018,,2019/01/16,,,read,,,,1,0
324750,High Output Management,Andrew S. Grove,"Grove, Andrew S.",,"=""0679762884""","=""9780679762881""",0,4.31,Vintage,Paperback,272,1995,1983,,2019/03/13,to-read,to-read (#76),to-read,,,,0,0
38321385,The Lies that Bind: Rethinking Identity,Kwame Anthony Appiah,"Appiah, Kwame Anthony",,"=""""","=""""",0,3.86,Liveright,Kindle Edition,272,2018,2018,,2019/03/12,to-read,to-read (#75),to-read,,,,0,0
76865,Good to Great: Why Some Companies Make the Leap... and Others Don't,James C. Collins,"Collins, James C.",Jim Collins,"=""0066620996""","=""9780066620992""",0,4.13,Harper Business,Hardcover,300,2001,2001,,2019/03/01,to-read,to-read (#74),to-read,,,,0,0
33864676,Red Famine: Stalin's War on Ukraine,Anne Applebaum,"Applebaum, Anne",,"=""0771009305""","=""9780771009303""",4,4.39,Signal,Hardcover,496,2017,2017,,2018/11/03,,,read,,,,1,0
94318,Awareness: The Perils and Opportunities of Reality,Anthony de Mello,"Mello, Anthony de",J. Francis Stroud,"=""0385249373""","=""9780385249379""",0,4.29,Image,Paperback,184,1992,1990,,2019/02/01,to-read,to-read (#73),to-read,,,,0,0
16219658,Inside the Black Box: A Simple Guide to Quantitative and High-Frequency Trading,Rishi K. Narang,"Narang, Rishi K.",,"=""1118362411""","=""9781118362419""",0,3.78,Wiley,Hardcover,336,2013,2009,,2019/01/24,finance,finance (#3),read,,,,0,0
17121088,Algorithmic Trading: Winning Strategies and Their Rationale,Ernie Chan,"Chan, Ernie",,"=""1118460146""","=""9781118460146""",0,3.93,Wiley,Hardcover,224,2013,2013,,2019/01/24,finance,finance (#2),read,,,,0,0
4977694,Quantitative Trading: How to Build Your Own Algorithmic Trading Business,Ernest P. Chan,"Chan, Ernest P.",,"=""0470284889""","=""9780470284889""",0,3.77,John Wiley & Sons Inc,Hardcover,181,2008,2008,,2019/01/24,finance,finance (#1),read,,,,0,0
34196228,The Innovation Blind Spot: Why We Back the Wrong Ideas And What to Do about It,Ross Baird,"Baird, Ross",Steve Case,"=""1944648615""","=""9781944648619""",4,4.09,BenBella Books,Hardcover,240,2017,,,2017/09/12,,,read,,,,1,0
933346,"The Making of Europe: Conquest, Colonization and Cultural Change, 950 - 1350",Robert Bartlett,"Bartlett, Robert",,"=""0691037809""","=""9780691037806""",0,3.96,Princeton University Press,Paperback,432,1994,1993,,2019/01/15,to-read,to-read (#72),to-read,,,,0,0
13562816,The Rainforest: The Secret to Building the Next Silicon Valley,Victor W. Hwang,"Hwang, Victor W.",Greg Horowitt,"=""""","=""""",0,4.10,Regenwald,Kindle Edition,304,2012,2012,,2019/01/12,to-read,to-read (#71),to-read,,,,0,0
